uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,time_get_info
OKvUlljRBSR02vtoZhUgCjcIy5h2,7,2.1500000953674318,"[43.0,43.0,54.0,23.0,32.0,0.0]","[6.0,2.0,1.0,5.0,11.0,0.0]",32,true,true,1,2022-09-19 11:02:56
h5kr7tqZTVeIjEQANX093B8ouIp1,13,35.983333587646487,"[30.0,0.0,25.0,95.0,34.0,0.0]","[14.0,0.0,6.0,18.0,16.0,0.0]",32,true,true,3,2022-09-19 11:03:17
4yZohmOiyOazYlBnsVf8Z1DKyJn1,2,0.949999988079071,"[10.0,16.0,19.0,0.0,17.0,13.0]","[6.0,4.0,19.0,0.0,14.0,9.0]",5,true,true,1,2022-09-19 11:03:28
d19OuyDi7GebHIZMuUP2CnyY6Tm1,32,1.5833333730697632,"[36.0,50.0,75.0,56.0,6.0,57.0]","[5.0,12.0,5.0,10.0,0.0,7.0]",42,true,true,4,2022-09-19 11:04:08
4yZohmOiyOazYlBnsVf8Z1DKyJn1,3,0.9833333492279053,"[0.0,41.0,27.0,0.0,48.0,0.0]","[0.0,14.0,2.0,0.0,12.0,0.0]",14,true,true,1,2022-09-19 11:04:38
muKjjBEn46S5vcFlof7xghsEZBG3,12,0.8500000238418579,"[0.0,0.0,51.0,0.0,62.0,41.0]","[0.0,0.0,19.0,0.0,16.0,14.0]",10,true,true,1,2022-09-19 11:04:53
OHxY40poS2ZCWYqXl7Xhg6OCOr72,34,1.100000023841858,"[29.0,0.0,35.0,38.0,33.0,30.0]","[4.0,0.0,7.0,10.0,13.0,3.0]",18,true,true,0,2022-09-19 11:05:03
4yZohmOiyOazYlBnsVf8Z1DKyJn1,4,0.38333332538604739,"[66.0,0.0,0.0,0.0,89.0,0.0]","[19.0,0.0,0.0,0.0,6.0,0.0]",10,true,true,0,2022-09-19 11:05:11
p9vSLbPLlfcPLPpeMh0g8VW4uo83,171,1.8666666746139527,"[37.0,41.0,52.0,40.0,27.0,31.0]","[4.0,0.0,2.0,8.0,13.0,0.0]",44,false,false,0,2022-09-19 11:05:59
4yZohmOiyOazYlBnsVf8Z1DKyJn1,5,0.8999999761581421,"[0.0,0.0,29.0,26.0,34.0,16.0]","[0.0,0.0,10.0,21.0,13.0,8.0]",12,true,true,1,2022-09-19 11:07:00
OHxY40poS2ZCWYqXl7Xhg6OCOr72,35,2.3333332538604738,"[141.0,112.0,0.0,0.0,0.0,97.0]","[44.0,33.0,0.0,0.0,0.0,34.0]",41,true,true,0,2022-09-19 11:07:34
qrdPaNcYEfgB5X3K8RVVvvFL6op1,29,1.100000023841858,"[62.0,25.0,0.0,36.0,45.0,46.0]","[3.0,8.0,0.0,9.0,9.0,10.0]",31,true,true,0,2022-09-19 11:07:44
p9vSLbPLlfcPLPpeMh0g8VW4uo83,171,1.899999976158142,"[39.0,44.0,45.0,38.0,36.0,35.0]","[0.0,0.0,0.0,16.0,18.0,0.0]",44,false,false,0,2022-09-19 11:07:57
4yZohmOiyOazYlBnsVf8Z1DKyJn1,6,0.8999999761581421,"[31.0,0.0,27.0,41.0,28.0,45.0]","[8.0,0.0,1.0,13.0,12.0,1.0]",21,true,true,0,2022-09-19 11:08:06
rdHa6t06IbXKyiwSwixk6HRlqqE3,3,0.6166666746139526,"[0.0,40.0,24.0,0.0,45.0,0.0]","[0.0,13.0,13.0,0.0,22.0,0.0]",7,true,false,1,2022-09-19 11:08:06
rdHa6t06IbXKyiwSwixk6HRlqqE3,4,0.4000000059604645,"[66.0,0.0,0.0,0.0,90.0,0.0]","[23.0,0.0,0.0,0.0,12.0,0.0]",9,true,false,0,2022-09-19 11:08:32
LvKDpNWsW8gW41pAOPDp8rsK19d2,41,4.866666793823242,"[0.0,78.0,81.0,81.0,83.0,76.0]","[0.0,33.0,15.0,36.0,23.0,41.0]",31,true,true,1,2022-09-19 11:08:47
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,16,7.933333396911621,"[38.0,26.0,15.0,43.0,0.0,43.0]","[6.0,7.0,0.0,3.0,0.0,7.0]",24,true,true,0,2022-09-19 11:09:22
rdHa6t06IbXKyiwSwixk6HRlqqE3,5,0.8666666746139526,"[0.0,0.0,26.0,27.0,33.0,17.0]","[0.0,0.0,15.0,22.0,22.0,2.0]",10,true,false,2,2022-09-19 11:09:34
4yZohmOiyOazYlBnsVf8Z1DKyJn1,7,1.600000023841858,"[42.0,43.0,51.0,23.0,33.0,0.0]","[2.0,8.0,7.0,8.0,13.0,0.0]",31,true,true,0,2022-09-19 11:09:52
SFZUNHK2BDTFK3aVgaxLrospHnu2,916,2.2333333492279054,"[87.0,69.0,0.0,0.0,94.0,0.0]","[7.0,16.0,0.0,0.0,10.0,0.0]",45,true,true,0,2022-09-19 11:10:02
p9vSLbPLlfcPLPpeMh0g8VW4uo83,171,2.066666603088379,"[45.0,51.0,58.0,49.0,36.0,53.0]","[12.0,18.0,11.0,12.0,5.0,4.0]",44,true,true,0,2022-09-19 11:10:07
YfnCpPfQdbgwYUX2Wiuvd0usrbg1,1324,2.3499999046325685,"[33.0,0.0,43.0,40.0,29.0,29.0]","[4.0,0.0,10.0,12.0,13.0,9.0]",39,true,true,2,2022-09-19 11:10:21
FiEP9LI0FtNS1Fy7GCvjxs5P90g2,40,2.183333396911621,"[30.0,34.0,40.0,44.0,0.0,44.0]","[6.0,7.0,6.0,3.0,0.0,6.0]",38,true,true,2,2022-09-19 11:11:31
SFZUNHK2BDTFK3aVgaxLrospHnu2,917,1.850000023841858,"[88.0,61.0,52.0,66.0,0.0,37.0]","[25.0,20.0,4.0,13.0,0.0,14.0]",48,true,true,0,2022-09-19 11:12:40
XXreLiQpTwTCg0Qqhgt1Fo9ukLW2,33,1.2666666507720948,"[38.0,0.0,42.0,61.0,59.0,0.0]","[0.0,0.0,16.0,10.0,18.0,0.0]",32,true,true,0,2022-09-19 11:12:41
LvKDpNWsW8gW41pAOPDp8rsK19d2,42,5.949999809265137,"[16.0,42.0,17.0,14.0,10.0,10.0]","[6.0,10.0,6.0,3.0,0.0,4.0]",29,true,true,4,2022-09-19 11:12:42
UDfd5TpD0kNFyOqQ6sUekDcSljf2,279,2.25,"[26.0,27.0,43.0,0.0,17.0,28.0]","[2.0,8.0,10.0,0.0,5.0,4.0]",28,true,true,2,2022-09-19 11:13:30
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,18,1.8166667222976685,"[31.0,17.0,42.0,49.0,41.0,0.0]","[11.0,9.0,17.0,3.0,7.0,0.0]",22,true,true,0,2022-09-19 11:14:36
XXreLiQpTwTCg0Qqhgt1Fo9ukLW2,34,1.9333332777023316,"[32.0,0.0,35.0,38.0,45.0,32.0]","[2.0,0.0,7.0,11.0,10.0,1.0]",34,true,true,0,2022-09-19 11:15:02
qrdPaNcYEfgB5X3K8RVVvvFL6op1,32,2.116666555404663,"[37.0,47.0,78.0,60.0,7.0,55.0]","[2.0,3.0,1.0,16.0,0.0,6.0]",45,true,true,0,2022-09-19 11:16:11
lcKO50HkfnfcYHwQO38koFk54FF2,2,0.7166666388511658,"[10.0,16.0,21.0,0.0,16.0,13.0]","[6.0,4.0,18.0,0.0,16.0,9.0]",6,true,true,1,2022-09-19 11:16:34
wmNAKCho1gXmwhOqrLAinrfKA852,11,0.75,"[0.0,0.0,53.0,61.0,29.0,40.0]","[0.0,0.0,9.0,12.0,0.0,14.0]",18,true,true,0,2022-09-19 11:16:43
Lys8OLOd9oalqOAg1Y7kDLUMD372,3,0.5833333134651184,"[0.0,40.0,25.0,0.0,44.0,0.0]","[0.0,13.0,16.0,0.0,31.0,0.0]",6,true,true,1,2022-09-19 11:16:50
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,19,2.3499999046325685,"[48.0,0.0,39.0,0.0,30.0,42.0]","[9.0,0.0,4.0,0.0,5.0,2.0]",26,true,true,0,2022-09-19 11:17:09
XXreLiQpTwTCg0Qqhgt1Fo9ukLW2,35,1.600000023841858,"[146.0,111.0,0.0,0.0,0.0,100.0]","[38.0,33.0,0.0,0.0,0.0,18.0]",48,true,true,0,2022-09-19 11:17:14
wmNAKCho1gXmwhOqrLAinrfKA852,12,0.46666666865348818,"[0.0,0.0,51.0,0.0,63.0,40.0]","[0.0,0.0,18.0,0.0,15.0,19.0]",10,true,true,0,2022-09-19 11:17:48
Z7BY8QITKRSxUTSOQI73hNuPyp83,2,0.6666666865348816,"[10.0,16.0,20.0,0.0,18.0,16.0]","[6.0,4.0,16.0,0.0,7.0,5.0]",10,true,true,1,2022-09-19 11:17:58
lcKO50HkfnfcYHwQO38koFk54FF2,3,0.6833333373069763,"[0.0,41.0,24.0,0.0,47.0,0.0]","[0.0,8.0,13.0,0.0,6.0,0.0]",10,true,true,1,2022-09-19 11:18:00
SFZUNHK2BDTFK3aVgaxLrospHnu2,918,3.4000000953674318,"[74.0,92.0,111.0,23.0,97.0,20.0]","[24.0,30.0,25.0,3.0,20.0,3.0]",78,true,true,0,2022-09-19 11:18:03
Lys8OLOd9oalqOAg1Y7kDLUMD372,5,0.6499999761581421,"[0.0,0.0,26.0,25.0,32.0,16.0]","[0.0,0.0,21.0,24.0,24.0,6.0]",6,true,true,1,2022-09-19 11:18:44
lcKO50HkfnfcYHwQO38koFk54FF2,4,0.5833333134651184,"[68.0,0.0,0.0,0.0,88.0,0.0]","[7.0,0.0,0.0,0.0,6.0,0.0]",11,true,true,0,2022-09-19 11:18:58
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,20,0.9666666388511658,"[28.0,35.0,18.0,13.0,38.0,0.0]","[6.0,13.0,4.0,6.0,23.0,0.0]",9,true,true,1,2022-09-19 11:19:14
Lys8OLOd9oalqOAg1Y7kDLUMD372,6,0.8666666746139526,"[31.0,0.0,26.0,40.0,23.0,42.0]","[6.0,0.0,9.0,9.0,10.0,19.0]",12,true,true,0,2022-09-19 11:19:46
SFZUNHK2BDTFK3aVgaxLrospHnu2,919,2.25,"[71.0,65.0,53.0,0.0,55.0,0.0]","[22.0,16.0,6.0,0.0,14.0,0.0]",51,true,true,1,2022-09-19 11:20:29
wmNAKCho1gXmwhOqrLAinrfKA852,11,1.2166666984558106,"[0.0,0.0,54.0,63.0,29.0,43.0]","[0.0,0.0,3.0,8.0,0.0,13.0]",23,true,false,0,2022-09-19 11:21:11
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,21,2.3499999046325685,"[82.0,0.0,75.0,0.0,66.0,0.0]","[0.0,0.0,1.0,0.0,3.0,0.0]",28,true,true,0,2022-09-19 11:21:46
