uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,version_name,time_get_info
yei7Ky5lqaZmvLqjXFfuvpul1ms2,28,2.9166667461395264,"[31.0,54.0,63.0,0.0,0.0,47.0]","[9.0,19.0,6.0,0.0,0.0,5.0]",34,True,True,0,1.30.1,2022-09-16 23:11:28
6mvF9dr5ZohGINu51AYRNTYX5VD2,11,1.0499999523162842,"[0.0,0.0,55.0,64.0,29.0,41.0]","[0.0,0.0,4.0,12.0,0.0,13.0]",23,True,True,0,1.30.1,2022-09-16 23:11:28
sq7mfaMb1ERf5dxxw3gGUuC2KQB2,1,0.3333333432674408,"[42.0,0.0,44.0,0.0,0.0,0.0]","[0.0,0.0,4.0,0.0,0.0,0.0]",7,True,True,0,1.30.1,2022-09-16 23:11:28
H8UZo8yKVPVddraefNsqHoklQsc2,1832,0.8166666626930237,"[40.0,48.0,18.0,51.0,0.0,45.0]","[19.0,21.0,9.0,30.0,0.0,26.0]",23,True,True,0,1.30.1,2022-09-16 23:11:28
qGQM4mEdIiNRS85IBc0MPa3SVEb2,730,4.066666603088379,"[118.0,10.0,52.0,47.0,0.0,48.0]","[12.0,0.0,17.0,9.0,0.0,12.0]",40,True,True,1,1.30.1,2022-09-16 23:11:28
H8UZo8yKVPVddraefNsqHoklQsc2,1833,0.550000011920929,"[19.0,0.0,27.0,24.0,25.0,18.0]","[7.0,0.0,10.0,2.0,6.0,3.0]",21,True,True,0,1.30.1,2022-09-16 23:11:28
3lqDzZbejYapvsEIWo3EuLhR8w83,11,1.0833333730697632,"[0.0,0.0,54.0,60.0,29.0,39.0]","[0.0,0.0,3.0,21.0,0.0,15.0]",16,True,True,0,1.30.1,2022-09-16 23:11:28
rp0Hii3lMOVVCxV2CWKO8IMFR1w2,11,1.0333333015441897,"[0.0,0.0,57.0,58.0,29.0,41.0]","[0.0,0.0,3.0,30.0,0.0,13.0]",20,True,True,0,1.30.1,2022-09-16 23:11:28
DzoGRHM9sZezIpxbPUzJdRds42y1,19598,2.4000000953674316,"[44.0,0.0,37.0,31.0,42.0,22.0]","[6.0,0.0,17.0,0.0,0.0,2.0]",29,True,True,0,1.30.1,2022-09-16 23:11:28
RogPMxvauEPwhn1mNPgyeN8BgXf1,22,1.5833333730697632,"[52.0,0.0,17.0,40.0,34.0,47.0]","[0.0,0.0,2.0,2.0,21.0,4.0]",32,True,True,0,1.30.1,2022-09-16 23:11:28
qtrfRT0RqBU6qmsNwjs8yZVWCp53,6,0.8333333134651184,"[32.0,0.0,27.0,41.0,24.0,42.0]","[0.0,0.0,1.0,14.0,5.0,19.0]",16,True,True,0,1.30.1,2022-09-16 23:11:28
rp0Hii3lMOVVCxV2CWKO8IMFR1w2,12,0.8166666626930237,"[0.0,0.0,55.0,0.0,63.0,42.0]","[0.0,0.0,12.0,0.0,9.0,18.0]",16,True,True,0,1.30.1,2022-09-16 23:11:28
3lqDzZbejYapvsEIWo3EuLhR8w83,12,0.6333333253860474,"[0.0,0.0,53.0,0.0,64.0,41.0]","[0.0,0.0,9.0,0.0,8.0,17.0]",14,True,True,0,1.30.1,2022-09-16 23:11:28
ViUHNUNgbNTrbhsiinftr7o6CES2,269,2.466666698455811,"[24.0,0.0,28.0,26.0,28.0,18.0]","[2.0,0.0,7.0,3.0,7.0,3.0]",34,True,True,1,1.30.1,2022-09-16 23:11:28
qGQM4mEdIiNRS85IBc0MPa3SVEb2,731,1.6833332777023315,"[34.0,0.0,23.0,36.0,25.0,28.0]","[5.0,0.0,3.0,2.0,2.0,0.0]",38,True,True,0,1.30.1,2022-09-16 23:11:28
DzoGRHM9sZezIpxbPUzJdRds42y1,19599,1.25,"[30.0,0.0,31.0,24.0,43.0,22.0]","[6.0,0.0,6.0,7.0,0.0,2.0]",31,True,True,1,1.30.1,2022-09-16 23:11:28
MkSyQmIAeTe2zfEQRrz49e1LOXj1,25,2.883333444595337,"[60.0,43.0,23.0,24.0,49.0,0.0]","[1.0,6.0,9.0,8.0,4.0,0.0]",47,True,True,0,1.30.1,2022-09-16 23:11:28
1FObYATMWkQqBTmIdp8cx2Pej2A2,15,3.9000000953674316,"[53.0,0.0,45.0,61.0,0.0,63.0]","[16.0,0.0,21.0,16.0,0.0,9.0]",26,True,True,7,1.30.1,2022-09-16 23:11:28
RogPMxvauEPwhn1mNPgyeN8BgXf1,23,1.8333333730697632,"[95.0,0.0,88.0,64.0,95.0,84.0]","[21.0,0.0,0.0,8.0,14.0,17.0]",43,True,True,0,1.30.1,2022-09-16 23:11:28
MkSyQmIAeTe2zfEQRrz49e1LOXj1,27,1.5666667222976685,"[39.0,0.0,32.0,43.0,0.0,80.0]","[12.0,0.0,17.0,5.0,0.0,6.0]",28,True,True,0,1.30.1,2022-09-16 23:11:28
