,uid,time_to_play,active_time,high_level,predictions,days_to_churn,warning
556,6M4Ap5ketaTW8Otu7qKfgZz9XsJ2,5.35,6692.64,23.0,True,6 days 09:31:40.711176,"this player play time is only 0.58% of average, churn level is 1574.17"
566,6UvUNqBcaZbfx0suatL2NzasFpu2,4.56,8524.87,11.0,True,7 days 05:55:24.711176,"this player play time is only 0.39% of average, churn level is 3815.19"
581,6i4W33jxTxgccJIq9sm66jObsTg2,0.0,4210.9800000000005,0.0,True,7 days 23:36:51.712171,player does not play!
585,6mLjmlRTVaZfUVqbK0iW2nrPudz1,0.7,7694.52,6.0,True,5 days 09:43:41.712171,"this player play time is only 0.07% of average, skill is 23.7744827011543% of average, churn level is 7300.84"
588,6mzd5cgeD3ddOeNpTzIvdfTKvpG3,0.0,4343.2,0.0,True,8 days 01:47:20.712171,player does not play!
589,6nq03Xu7eWWeWHJEbwXQXbFvQ1h1,3.78,5352.96,46.0,True,5 days 08:36:36.712171,"this player play time is only 0.51% of average, churn level is 5688.04"
601,70zBTkRLrjNicoBmDVS0ROPKJH62,0.0,4540.56,0.0,True,6 days 00:43:39.712171,player does not play!
607,72tuWIs814TOvYKvCi39wlUYBMw1,0.0,4698.87,0.0,True,5 days 07:18:37.712171,player does not play!
617,7C62DGWdUngWljXPtjfqet5QaYQ2,0.0,4383.79,0.0,True,6 days 20:30:09.712171,player does not play!
635,7LKAHXAb4CPONvuGSWC0nLF9uBj2,0.0,7080.76,0.0,True,5 days 13:02:14.712171,player does not play!
643,7NnQZrt496a9sywmVT0vo5Iz0602,0.0,4050.49,0.0,True,7 days 04:52:27.712171,player does not play!
647,7Pt4pnyU7XRz9o2VCchfdsgAZV72,0.0,4049.88,0.0,True,7 days 04:40:03.713170,player does not play!
684,7penSTC86qgjPgx2XS2t2mFEf0m1,0.0,4303.629999999999,0.0,True,7 days 13:27:48.713170,player does not play!
693,7v7cYkzGafNkXBjIuGQe8DeiLi32,0.0,4730.73,0.0,True,8 days 01:18:22.713170,player does not play!
698,7zEwkcLUrZN6ehTzAsrfD0iZJR62,0.0,4665.65,0.0,True,7 days 03:37:53.713170,player does not play!
701,825PonG92Keryg6YgmeHzZ13BTs1,0.25,4384.29,1.0,True,4 days 21:29:56.713170,"this player play time is only 0.04% of average, skill is 13.898928348367134% of average, churn level is 4575.17"
714,895RO783RDcAXCNLHpSVSdLUzJI2,0.0,6108.63,0.0,True,6 days 00:13:48.714168,player does not play!
716,8DKOvUMpD6OZlMhaEtBvxsoEfvI3,0.0,5481.39,0.0,True,6 days 02:03:31.714168,player does not play!
730,8KSR0rFPHgZn6UBCBl7ddgiZ2W33,0.0,6413.4800000000005,0.0,True,7 days 16:01:05.714168,player does not play!
731,8KTaNmJ6Ssdwueo3EKo3uJGDDcA2,6.3,5950.94,13.0,True,5 days 11:58:04.714168,"this player play time is only 0.77% of average, churn level is 430.49"
735,8MIDzTHes0WgGdFXv8hwcaEVHpu2,0.0,5795.78,0.0,True,4 days 16:08:24.714168,player does not play!
741,8PPM61L50GTcEU0IYXvhYXuVohQ2,0.0,8058.94,0.0,True,5 days 07:01:28.714168,player does not play!
753,8a8bXD9uenU9AGg0hdrZCYqVE392,0.0,7551.26,0.0,True,5 days 03:49:15.714168,player does not play!
783,8zUzOD5DjWNEbPQCocgeGRam4Fk2,5.19,1383.86,74.0,True,7 days 06:15:04.715170,"this player play time is only 2.71% of average, win 49.59% of average, churn level is 129.39"
798,96sMOwZcNVZRONPuU7byK0eRVhc2,33.98,4246.08,29.0,True,4 days 23:13:31.715170,"this player play time is only 5.79% of average, churn level is 506.83"
803,99FZUz5CdyeJrnSgITffceORgdd2,7.64,8765.4,57.0,True,5 days 21:49:44.715170,"this player play time is only 0.63% of average, churn level is 3674.93"
813,9FTrcuOv5GPE3E1GO1fw0nBop7x2,5.35,7456.2300000000005,18.0,True,5 days 01:30:42.715170,"this player play time is only 0.52% of average, churn level is 1115.78"
823,9MkpPeFNBWWdZQA9zOqKDRuBhH22,0.0,4467.16,0.0,True,4 days 20:45:58.715170,player does not play!
841,9aYOb4XV0XRqiWfjWBMRK5pzLkQ2,0.0,4231.45,0.0,True,5 days 04:12:22.715170,player does not play!
843,9bS8OvDOctgkq6t3QIecYsT55Ly1,297.92,6056.1900000000005,90.0,True,5 days 02:14:50.715170,"this player play time is only 35.56% of average, churn level is 14.74"
859,9sBbp42DRLTeXDYQoB8ajto91L92,0.0,5095.94,0.0,True,5 days 06:40:41.716163,player does not play!
865,9wf6kq3KprgswgxyxsPqEBKNSWz1,0.0,4320.71,0.0,True,5 days 08:22:40.716163,player does not play!
867,9xXDoqampLOz12E8eS6WQXfEEjC3,0.0,5684.740000000001,0.0,True,6 days 09:18:15.716163,player does not play!
883,A8ceZp2anPVcKLoKVNMRUWAMZjj2,0.0,6587.11,0.0,True,5 days 04:32:01.716163,player does not play!
906,ANtKst9psGVsskZKFwvGJMaVVba2,0.0,8991.06,0.0,True,5 days 06:14:35.716163,player does not play!
909,ARUQZLmMV8bLwPI1olqXv1PHe2a2,4.42,5476.74,11.0,True,7 days 04:06:33.716163,"this player play time is only 0.58% of average, churn level is 379.64"
926,Af50W53P4LVg5c9bnNtEkrou8RK2,9.33,5882.37,17.0,True,5 days 07:41:35.717162,"this player play time is only 1.15% of average, churn level is 1845.44"
939,AsHqNqpvkQPlgKcnLuibi0i5uzX2,0.0,4446.69,0.0,True,5 days 11:02:27.717162,player does not play!
958,B6ncDSfY25bvaU4KswBHJcceppq1,0.0,6331.41,0.0,True,4 days 23:56:27.717162,player does not play!
961,B8hCgujTW4bO9GNFB1zoTiOy2UA3,0.0,7284.2,0.0,True,6 days 08:52:00.717162,player does not play!
975,BF3dJhPco2gIp4MzWKd6U4G5rYI2,5.61,9702.810000000001,5.0,True,7 days 06:49:03.717162,"this player play time is only 0.42% of average, skill is 37.53656159388947% of average, churn level is 17615.41"
977,BH32wdzLU7fIeUBfwokCEFLEF9t2,0.85,4444.0599999999995,2.0,True,5 days 21:43:07.717162,"this player play time is only 0.14% of average, skill is 24.762784588009197% of average, churn level is 46105.57"
979,BJFypfWjsDQ8IncI4mLWHkwJXl72,32.78,5637.88,34.0,True,5 days 18:45:11.717162,"this player play time is only 4.2% of average, churn level is 380.93"
993,BOzYfb0eG5VqGmGveFBf0byYSOJ2,0.0,3990.5699999999997,0.0,True,7 days 00:58:23.718157,player does not play!
